product,url,price,num_sold
Brossard Mini Savane Chocolate Marble Cake Pocket Pack,//www.lazada.sg/products/brossard-mini-savane-chocolate-marble-cake-pocket-pack-i301182062-s527264185.html?search=1,$6.50,(14)
McVitie's Twist Chocolate Chip And Coconut Digestive Biscuits,//www.lazada.sg/products/mcvities-twist-chocolate-chip-and-coconut-digestive-biscuits-i445676239-s1185208837.html?search=1,$4.50,(13)
LU Granola Pocket Milk Chocolate and Coconut Biscuit,//www.lazada.sg/products/lu-granola-pocket-milk-chocolate-and-coconut-biscuit-i301144798-s527204928.html?search=1,$5.90,(7)
Lee Marie Chocolate Biscuits,//www.lazada.sg/products/lee-marie-chocolate-biscuits-i301198259-s527268514.html?search=1,$2.10,(4)
MyBizcuit Bellco (Chocolate Cookies),//www.lazada.sg/products/mybizcuit-bellco-chocolate-cookies-i407916105-s1010106289.html?search=1,$5.95,()
Lotte Pie No Mi Chocolate Puffs Party Pack,//www.lazada.sg/products/lotte-pie-no-mi-chocolate-puffs-party-pack-i462856090-s1245156822.html?search=1,$10.70,()
Snacky and Crisps Mallow Chocolate Pie (Banana) - By Prestigio Delights,//www.lazada.sg/products/snacky-and-crisps-mallow-chocolate-pie-banana-by-prestigio-delights-i304204618-s538418272.html?search=1,$4.80,(1)
Bahlsen Leibniz Cocoa Biscuit Biscuit,//www.lazada.sg/products/bahlsen-leibniz-cocoa-biscuit-biscuit-i545278991-s1541258536.html?search=1,$2.90,(3)
FUJIYA Peko Poko Stick Chocolate,//www.lazada.sg/products/fujiya-peko-poko-stick-chocolate-i462852144-s1245198005.html?search=1,$2.70,()
YBC Noir Soft Cookies Vanilla,//www.lazada.sg/products/ybc-noir-soft-cookies-vanilla-i407878508-s1010132176.html?search=1,$5.95,(1)
Furuta Okinawan Brown Sugar Cookie,//www.lazada.sg/products/furuta-okinawan-brown-sugar-cookie-i701910645-s2189274220.html?search=1,$3.50,(3)
Furuta Kyoto Matcha Cookie,//www.lazada.sg/products/furuta-kyoto-matcha-cookie-i701904877-s2189228509.html?search=1,$3.50,(2)
Meiji Lucky Stick Chocolate Flavour,//www.lazada.sg/products/meiji-lucky-stick-chocolate-flavour-i624022272-s1859420192.html?search=1,$1.10,()
BOURBON Alfort Mini Black Chocolate,//www.lazada.sg/products/bourbon-alfort-mini-black-chocolate-i578544557-s1654160537.html?search=1,$2.60,(2)
BOURBON Alfort Strawberry Chocolate Biscuit,//www.lazada.sg/products/bourbon-alfort-strawberry-chocolate-biscuit-i577574306-s1651036439.html?search=1,$7.45,()
Dr. Schar CHOCOLIX Milk Chocolate Coated Shortbread Biscuit Bars with Caramel Filling - Gluten Free by Agora Products,//www.lazada.sg/products/dr-schar-chocolix-milk-chocolate-coated-shortbread-biscuit-bars-with-caramel-filling-gluten-free-by-agora-products-i556374506-s1579642263.html?search=1,$7.60,(2)
Dr. Schar Twin Chocolate Bar - Gluten Free by Agora Products - Case,//www.lazada.sg/products/dr-schar-twin-chocolate-bar-gluten-free-by-agora-products-case-i556360756-s1579658118.html?search=1,$6.90,()
Britannia Good Day Chunkies Chocolate Chip Cookies - By Sonnamera,//www.lazada.sg/products/britannia-good-day-chunkies-chocolate-chip-cookies-by-sonnamera-i546778421-s1545350745.html?search=1,$1.50,()
Britannia Pure Magic Chocolush - By Sonnamera,//www.lazada.sg/products/britannia-pure-magic-chocolush-by-sonnamera-i546770511-s1545396022.html?search=1,$1.50,(4)
KABAYA Saku Panda Chocolate,//www.lazada.sg/products/kabaya-saku-panda-chocolate-i539982365-s1521756212.html?search=1,$3.95,()
Desobry Winter Collection 420G,//www.lazada.sg/products/desobry-winter-collection-420g-i521298588-s1459860288.html?search=1,$12.90,()
